Вопрос,Ответ
"Меня задержали","Во-первых, не сопротивляться. Не оказывайте активного сопротивления при задержании. Максимум, лягте или сядьте на асфальт, и расслабьтесь, чтобы было видно, что вас принудительно задерживают, и вы не следуете за сотрудниками добровольно. \nВо-вторых, постарайтесь самостоятельно, или с помощью друзей зафиксировать на видео момент задержания, провести прямой эфир в надежной социальной сети, чтобы зафиксировать, что вы не сопротивляетесь и не причиняете вреда сотрудникам. В-третьих, сообщите кому-либо о задержании и куда вас доставляют (родным, друзьям, юристу/адвокату). Узнайте причину задержания. В-четвертых, не сообщайте никаких данных сотрудникам, до приезда вашего юриста/адвоката. Отказывайтесь по 51 ст.Конституции, говоря «Воспользуюсь правом, предоставленным мне 51 ст.Конституции РФ» на все вопросы."
"Меня везут в отдел полиции","Во-первых, не забывать о наличии у вас прав, которые выражены в ваших естественных потребностях – на горячую еду три раза в день/чистую воду, сон в ночное время, отдых, посещение туалета. Все это можно и нужно требовать, чтобы сохранить свое нормальное психологическое состояние, требуемое в критической ситуации. Во-вторых, наличия у вас права на защиту, и на гарантии неприкосновенности прав личности. Требуйте позволить вам осуществить телефонный разговор, чтобы сообщить, где вы находитесь и основание задержания. Требуйте адвоката, или юриста, с которым у вас заключено соглашение. Не давайте без них объяснения. Ничего не вредите, не ругайтесь, не подписывайте."
"будут обыскивать","Обыск (ст.184 УПК и личный досмотр ст.27.7 КоАП) и личный досмотр – почти одинаковая процедура. Осуществляется в присутствии понятых, либо под видео. Что и надо требовать. Производится лицом одного пола, в случае наличия оснований. Производится уполномоченным должностным лицом. В результате составляется процессуальный документ – постановление, в котором вам надо записать свое несогласие с процедурой обыска."
"обыск","Обыск (ст.184 УПК и личный досмотр ст.27.7 КоАП) и личный досмотр – почти одинаковая процедура. Осуществляется в присутствии понятых, либо под видео. Что и надо требовать. Производится лицом одного пола, в случае наличия оснований. Производится уполномоченным должностным лицом. В результате составляется процессуальный документ – постановление, в котором вам надо записать свое несогласие с процедурой обыска."
"У меня проводят обыск","Обыск (ст.184 УПК и личный досмотр ст.27.7 КоАП) и личный досмотр – почти одинаковая процедура. Осуществляется в присутствии понятых, либо под видео. Что и надо требовать. Производится лицом одного пола, в случае наличия оснований. Производится уполномоченным должностным лицом. В результате составляется процессуальный документ – постановление, в котором вам надо записать свое несогласие с процедурой обыска."
"У меня проводят обыск","Обыск (ст.184 УПК и личный досмотр ст.27.7 КоАП) и личный досмотр – почти одинаковая процедура. Осуществляется в присутствии понятых, либо под видео. Что и надо требовать. Производится лицом одного пола, в случае наличия оснований. Производится уполномоченным должностным лицом. В результате составляется процессуальный документ – постановление, в котором вам надо записать свое несогласие с процедурой обыска."
"как защититься от прослушки в офисе?","Здесь решение простое и краткое — наглухо занавесить окна шторами или плотной тюлью. Дело в том, что звук - это электромагнитная волна. Они не видимы для человеческого глаза, не осязаемы для носа, не определимы на вкус.  Наше слух не слышит их, потому что это самые сверхмалые частоты. Оперативные подразделения полиции, ФСБ или же следственный комитет, помимо того что могут осуществлять закладки микрофонов в Ваше жилище или офис, так же практикуют и считывание информации с колебаний стёкол Вашего жилища или офиса (помещения где  Вы находитесь и разговариваете). Все звуки которые произносятся (исходят) в помещении, в виде электромагнитных волн распространяются по всему помещению (мгновенно). Это можно назвать также и колебанием воздуха. Когда человек произносит звуки (слова) в помещении, то  микроскопические колебания воздуха в виде электромагнитных волн ударяются во все что окружает источник этого звука (стены комнаты, мебель, батареи отопления, люстру) и в том числе и в стекла окон, находящихся в помещении. Преимущество оконного стекла в том, что оно ровное (идеально), расположено вертикально и имеет большую площадь отражения  (охвата). Обычно спецслужбы снимают (записывают) информацию с помещений следующим образом. В доме (помещении) напротив Вашего офиса (жилища) где Вы ведёте разговоры, устанавливается аппаратура. Лазерный луч этой аппаратуры направляется на стекло окна Вашего офиса (жилища), где Вы разговариваете. Когда человек разговаривает в помещении..., - звук в виде электромагнитных колебаний воздуха  ударяется в стекла окон этого помещения, отражается и идет далее. При этом стекло производит сверхмикроскопические колебания. Лазер имеет свойство как ничто лучше, улавливать любые (даже сверхмалые) колебания любых предметов. Таким образом лазер направленный на Ваше окно, считывает колебания стекла, передает их на спецаппаратуру связи. Последняя расшифровывает эти колебания, и преобразовывая в звук. В итоге получается дистанционное прослушивание и запись всех  Ваших разговоров, которые Вы ведёте в помещении. Но если Вы просто — напросто зашторите окна шторами, то все звуки в помещении (а это электромангнитные колебания воздуха), будут гаситься тканью этих штор."
"Мне надо срочно уехать (бежать), скрыться, что делать.","Изначально, у Вас должны быть заготовлены документы прикрытия. Всё всегда готовьте заранее (когда ты готов к самому худшему варианту.... -  ты готов ко всему). Для эвакуации необходимы документы и деньги (это основное). Всегда держите на готове «тревожный чемоданчик». Содержимое этого «чемоданчика» определять Вам сами (у каждого свой необходимый набор вещей и предметов). Неизменным остаётся только: загранпаспорт, паспорт гражданина России, военный билет (если Вы военнообязанный), и все-все прочие документы (диплом об образовании, удостоверение правозащитника и т.д). Как правило правозащитнику приходится эвакуироваться из России в зарубежье (то есть за границу), поскольку уголовное преследование в отношении Вас, однозначно распространяется на территории всей Российской Федерации. Можно переехать в другой субъект РФ, но рано или поздно Вы себя обнаружите, а значит Вас задержат. К тому же нахождение  на территории врага, будет держать Вас в постоянном напряжении, очень сильно измотает. Вы должны понимать, что в полиции, следственном комитете и в ФСБ работают не глупые люди. Если эти ведомства взялись за Вас, значит Вы уже длительно время находитесь в оперативной разработке ЦПЭ (у Э-шников). Отсюда вывод: они тоже ставят себя на Ваше место и просчитывают Ваши действия. Например они могут заранее внести данные Ваших загранпаспорта и паспорта гражданина России в систему АИПС «Магистраль». Это на тот случай если Вы решите скрыться за границу, переехать в другой регион России, да и просто отследить все Ваши передвижения. Упредить этот вопрос можно заранее заготовив документы прикрытия. В АИПС «Магистраль» вносят только данные последних документов которыми Вы документированы.  Следовательно, здесь можно сделать следующее: заявить об утере загранпаспорта, осуществить оформление нового документа (загранпаспорта), но при этом старый загранпаспорт сохранить и держать его в тайне на готове, поскольку именно по нему Вы и будете выезжать за пределы России. Всё дело в том, что когда Вы будете передвигаться по территории России, а потом и выезжать за границу, то в базе розыска АИПС «Магистраль», Вы будете значиться на сторожевом контроле только по последнему документу которым вы были документированы (серия и номер загранпаспорта). Приобретя билет по старому (прежнему) укрытому (ранее заявленному как утерянном) загранпаспорту, Вы без проблем приобретёте авиабилет и беспрепятственно покинете пределы России. Поскольку база АИПС- Розыск  «Магистраль» работает в автоматическом режиме и выдаёт данные только  при совпадении двух составляющих в отношении кого выставлен сторожевой контроль: ФИО и серия+номер паспорта. О том как эвакуироваться с места Вашего проживания, работы, нахождения — это зависит только от Ваших индивидуальных качеств и оперативного мышления. Например как добраться на перекладных до Москвы, Санкт-Петербурга или Новосибирска (например)? Сейчас есть целые приложения где водители дальнобойщики предлагают свои услуги  по перевозке  за очень малую плату. Заранее  наметьте маршрут следования от Вашего города, до точки (города) откуда Вы намерены убыть  за рубеж. Затем проработайте другой  (запасной) маршрут."
"Вас задерживают","Всегда надо исходить из конкретных обстоятельств: если Вас задерживает (ют) люди в гражданской форме одежды, и если они при этом не представились и не предъявили свои служебные удостоверения, то смело оказывайте НЕ ФИЗИЧЕСКОЕ неповиновение, уклоняйтесь, изворачивайтесь. Поднимайте шум, устраивайте истерику, привлекайте внимание прохожих и общества. Помните..., что полицейские очень не любят шума и скандала. В последствии уже в суде или еще где либо, можете ссылаться и и утверждать, что к вам на улице в общественном месте подошли люди в гражданской форме одежды, не назвались, не представились и не обозначили свой статус и полномочия, при этом беспричинно стали хватать вас за одежду, тянуть, бить, угрожать (не сглаживайте углы), тащить в сторону,  оскорбляли Вас и т. д. Вы решили, что вас похищают, поэтому Вы отчаянно отбивались от них, Если Вы будете очень активны, дерзки, наглы  и скандальны, то полицейские могут отстать от Вас. Помните, что большая часть полицейских очень малограмотна, порой они не  знают простых вещей (основания для задержания, как грамотно составить рапорт о задержании, как взять объяснение и т.д), Если к Вам подошли на улице люди в гражданке, представились — назвались кто они, откуда и т. д., затем предъявили  служебные удостоверения, то и здесь не надо теряться.   Сначала старайтесь часто  переспрашивать  кто они (их имена, фамилии, должности и.т.д). Затем достаньте ручку и блокнот (либо бумагу) и  потребуйте предъявить служебные удостоверения. Затем тщательно очень и очень  долго переписывайте  данные  из этих удостоверений (ФИО, должность, звание,  дата выдачи, срок действия удостоверения, серия, номер). После требуйте объяснить основания задержания, причину, вообщем требуйте конкретику. Вообщем тяните время, при этом пытайтесь сориентироваться  в том, что происходит, что можно (нужно) предпринять, и просчитайте последствия, Всегда знайте, что полицейские очень не любят связываться с правозащитниками и теми кто знает законы. Поэтому с ходу начинайте привлекать внимание окружающих когда вас задерживают. Например громко и отчётливо задавайте вопросы полицейским: Кто Вы?, Предъявите пожалуйста ваши служебные удостоверения !?, На каком основании вы меня остановили? по какому праву вы меня задерживаете? Предъявите основания и т.д. В любом случае это привлечёт внимание мимо проходящих (стоящих рядом и т.д). Вы же при этом тут же начинайте всё документировать на видеокамеру (снимайте на телефон). Больше всего полицейские боятся публичности, шума, огласки и скандала. Когда вы устраиваете шум и скандал, полицейские обычно начинают вести себя корректно, тактично. Они понимают, что лишние проблемы им не нужны, Изначально сообщите своим сподвижникам, что Вас задержали любым путём (по телефону, передайте прохожим что бы  позвонили Вашим и т.д). Можно например записи где вы отразили данные полицейских  передать  сочувствующим прохожим и попросить их передать эту информацию вашим сподвижникам. Даже когда Вас всё же задержали и доставили в отдел полиции, Ваши предшествующие действия станут залогом  уважительного отношения к Вам. Полицейские видя Вас в деле, изначально понимают, что с Вами нужно работать аккуратно. По доставлению Вас в полицию, старайтесь сразу установить кто из полицейских которые Вас задержали и доставили главный (кто их в бой ведёт). Кто будет конкретно вами заниматься, какова причина доставления. Каков Ваш процессуальный статус: административно задержанный, арестованный за следствием, дознанием или судом, задержанный в порядке ст. 91 УПК РФ  на 48 часов(по подозрению в совершении преступления), либо Вы просто доставлены для установления личности (а это не более 3 часов). Если полицейские  сообщают Вам что сейчас они намерены  произвести досмотр Ваших вещей, предметов и одежды одетой на Вас, то требуйте основания, обязательное присутствие понятых. Если полицейские намерены вас обыскать, то знайте, что личный обыск, обыск в Вашем жилище — это уже следственное действие, а значит требует наличия возбужденного уголовного дела. Поэтому требуйте ознакомить Вас с материалами этого уголовного дела (например с постановлением о ВУД). В нём кстати должны быть отражены основания ВУД, фабула, статья УК и прочая информация. После этого (или параллельно с этим) тщательно проверьте (переберите) всю свою одежду одетую на Вас, предметы с которыми Вас задержали, или сумки. Вполне вероятно что во время задержания Вас или уже при транспортировке (доставлении Вас), полицейские могли подкинуть (засунуть) Вам  запрещённые предметы (обычно это наркотики, боеприпасы , патрон например или другие запрещённые предметы). Если таковое Вы внезапно обнаружили у себя например подкинутым в сумке, кармане или ещё где, то тут же заявляйте данное Вам подкинули и что выдаёте это добровольно. Помните, что добровольная выдача наркотиков, оружия, боеприпасов, освобождает от уголовной ответственности. В случае если полицейские заявляют Вам что сейчас будет осуществлён обыск у Вас в офисе, квартире, другом жилище, то  так же требуйте ознакомить Вас с постановлением о ВУД (изучите его), постановлением о производстве обыска. Постарайтесь найти технические ошибки-несостыковки (даты, нормы права, не разъяснение прав и обязанностей и т.д). Как правило при производстве обыска у правозащитника в жилище или в офисе невозможно найти что — либо запрещённое в гражданском обороте. У правозащитника никогда не будет наркотиков, огнестрельного оружия, боеприпасов или взывчатых веществ (вообщем того за что можно посадить). Следовательно, как правило досмотр Вас, Ваших вещей находящихся при Вас или же обыск Вашего жилища и офиса, носит одну только цель — подброс запрещённого. Поэтому есть только один выход в той ситуации когда Вы задержаны  и находитесь в отделе полиции, и полицейские заявляют Вам, что намерены произвести у Вас обыск. Нужно позвонить в службу «01» о сообщить  о задымлении и возгорании у Вас в жилище (или в ) офисе, при этом назвать адрес. Очень важно дать своё согласие на взлом входной двери. Всё это нужно для того, чтобы когда Вас  доставят к месту производства обыска, вместе со следователем, оперуполномоченными, понятыми, Вы можете изначально заявить при  понятых, что дверь  Вашей квартиры уже имеет следы взлома, а значит проникновения. А следовательно вы не отвечаете за последствия, и что скорее всего Вам в жильё могли подкинуть запрещённые предметы. Если же в последствии к Вам возникнут вопросы (в ходе разбирательства) почему Вы решили что в Вашем офисе или жилье пожар, то говорите что вам позвонили добрые люди."
"Мне страшно, что делать? Я боюсь, ко мне пришли с обыском, как справиться со страхом?","Прежде всего  нужно постараться нормализовать свое психологическое состояние, дышите. На нашем сайте вы можете скачать тренажёр дыхания! Когда восстановится дыхание, кислород начнёт активно поступать, вам станет легче. Другой важный момент, охладите лицо. Это можно сделать погружая в холодную воду лицо. Температура кожных покровов начнет снижаться, вам станет легче. И не забывайте про дыхание! Третий способ быстро справиться со страхом - Заземлитесь, т.е. переключите внимание на предметы , находящиеся рядом с вами. Опишите, какие они, какого цвета, фактуры и т.д.  Если вам очень страшно, то мы всегда на связим и сможем помочьь вам!"
